has_smartphone,bill_payment_timely,digital_payments_freq,late_payments_count,income_level,employment_stability,spending_stability,loan_repaid
1,0,6,1,3,2,10601.763395775251,1
1,1,4,0,5,4,1523.295506459597,1
1,1,6,0,3,3,6297.269821120896,1
1,1,6,0,3,3,21570.885368941166,1
1,0,2,5,4,3,345.7303862838787,1
1,1,6,0,5,2,22512.981535105475,1
1,1,6,0,5,2,4201.8060600968565,0
1,1,5,0,2,3,33545.428272716985,1
1,0,3,6,1,2,1531.092028586133,0
1,1,1,0,1,4,14946.255968190382,0
1,1,1,0,3,5,953.3477155092294,1
1,0,3,2,4,5,76920.54765709008,0
1,0,5,3,1,5,847.1159700222081,0
1,0,6,1,4,2,1586.1290931068631,1
1,0,3,2,3,2,9453.118034102117,1
0,0,4,1,1,1,5051.031459019039,1
1,1,5,0,2,3,246.6576574931336,1
1,0,5,6,5,2,2120.736633027936,0
1,0,6,1,4,3,3231.6500687213443,1
1,0,2,1,5,3,1445.789749583251,1
1,1,6,0,5,3,29408.176627711327,1
1,0,4,1,1,1,1285.329996537854,1
1,1,6,0,1,1,16029.163804349453,1
1,1,6,0,5,4,0.0,1
1,1,5,0,1,1,9139.628103301942,0
1,0,0,1,4,4,0.0,0
1,1,6,0,5,3,66805.33728004074,1
1,1,6,0,5,2,65185.69022645998,1
1,1,5,0,2,2,3821.6169178329046,0
1,0,6,1,5,4,18024.80346263633,1
1,1,6,0,1,4,14588.655557201515,1
1,1,6,0,3,3,20478.398730532295,1
1,0,4,1,5,4,326.2974103482895,0
1,1,5,0,3,3,2785.061130388344,1
1,1,6,0,3,3,49637.66182513704,1
1,0,4,3,1,4,1685.0850918178187,1
1,0,6,6,4,5,4158.173529327511,0
1,1,1,0,5,3,3098.238983680891,1
1,1,1,0,2,2,2559.362713645723,1
1,1,4,0,3,3,610.7312556817988,1
1,1,6,0,2,1,14904.857696961304,1
1,1,6,0,2,3,29294.15102484908,1
1,1,5,0,5,4,8520.92693705718,1
1,1,6,0,3,2,19221.20264100732,1
1,1,6,0,1,1,4751.430886234869,1
1,1,5,0,1,3,7570.499783149502,0
1,1,5,0,3,3,3911.5294408538794,1
1,1,6,0,5,2,17276.265263842954,1
1,0,5,2,5,5,26808.4820414485,1
1,1,6,0,1,1,9080.58937881604,0
1,0,5,5,2,2,2176.291861554113,1
1,1,2,0,2,1,10612.190419512835,1
1,1,6,0,2,3,1827.5359093599227,1
1,1,6,0,5,5,1780.2228418562286,1
1,1,5,0,3,3,60016.17576842652,1
1,0,0,1,5,3,0.0,1
1,0,4,1,5,3,1083.1979812881239,1
1,0,6,1,1,4,1478.5962825148272,1
1,0,4,6,5,4,7300.13990733511,1
1,1,6,0,2,1,3427.724881997776,1
1,1,6,0,1,4,561.6709594296883,1
1,0,4,3,1,1,1645.6070004712547,0
1,1,6,0,4,2,2172.709521925714,1
1,0,6,1,2,2,1520.6558672713122,0
1,1,6,0,5,3,4600.610510211299,1
1,1,6,0,4,3,26117.499740595387,1
1,0,5,6,1,3,2024.2811481280623,0
1,0,0,1,5,3,0.0,0
1,0,0,1,3,4,0.0,1
1,0,6,1,5,3,44667.92358579775,0
1,1,5,0,1,2,1517.608601275924,1
1,0,0,1,1,1,0.0,1
1,1,6,0,4,5,4192.85882185413,1
1,1,6,0,3,3,26762.876666507036,0
1,1,6,0,1,5,1446.826273837556,0
1,0,6,3,2,5,17302.28765703156,1
1,0,6,1,1,1,4580.542049437671,1
1,0,5,1,4,4,1395.3877477843453,1
1,1,6,0,5,3,24198.630320054617,1
1,1,6,0,5,4,844.5518930178299,1
1,1,4,0,1,1,11121.187538508046,1
1,0,4,3,4,3,1341.5108895073,1
1,1,6,0,3,2,4825.3427546652065,1
1,1,6,0,4,3,1853.1112936536397,1
1,1,2,0,1,5,2333.286666199991,0
1,1,6,0,1,1,16935.136133691594,1
1,0,0,1,4,4,0.0,0
1,1,5,0,3,2,642.2647429214841,1
1,0,6,4,1,1,4804.1501398964065,1
1,1,6,0,3,2,2374.977698140904,1
1,1,6,0,1,2,5964.170375388909,1
1,0,5,1,1,2,2311.2592815750177,1
1,1,5,0,3,2,4313.15508647672,0
1,0,6,2,4,3,50870.33393016667,1
1,0,4,4,2,1,952.4360345975996,1
1,0,3,1,4,5,8812.580567953219,1
1,0,5,1,3,3,11963.214173735529,1
1,1,6,0,2,1,7644.636856428609,1
1,0,3,1,5,4,1107.6170216580579,1
1,1,6,0,5,5,38459.20973923758,1
1,1,6,0,1,2,1855.3461851273648,1
1,1,6,0,3,3,10496.222533210062,1
1,1,6,0,4,3,6603.059455030423,1
1,1,6,0,4,2,30175.791255022075,1
1,0,6,6,4,4,14281.202980374821,0
1,0,5,2,1,5,616.0084415006015,1
1,0,4,5,1,4,1459.8277523963802,1
1,0,5,2,1,2,314.68079064347097,1
1,1,5,0,5,4,344.89674783428546,1
1,0,5,1,4,3,6571.552297593013,1
1,1,6,0,2,4,2352.3388928185213,1
1,1,6,0,3,2,15262.888840801623,1
1,1,6,0,5,4,4720.619140183485,1
1,0,5,2,2,2,41659.94091570462,1
1,0,5,1,2,3,6661.795986568987,1
1,1,6,0,1,1,632.3715416325016,1
1,1,6,0,4,3,4876.173311795497,1
1,1,5,0,5,2,1715.742482619891,1
1,1,5,0,1,1,4127.7755631817,1
1,0,0,1,1,1,1342.4943078712352,0
1,0,1,1,5,2,31.43511836571745,1
1,0,4,6,3,5,3144.6615981161895,0
1,1,5,0,2,2,2555.733867209182,1
1,0,4,3,1,2,13005.919520228728,1
1,1,6,0,1,1,1271.8007181420628,1
1,0,5,1,2,2,33983.10764335716,1
1,0,4,1,4,3,10641.69132077541,1
1,1,6,0,2,3,13884.307723709766,1
1,1,6,0,5,4,26640.326722846323,1
1,1,6,0,2,1,19829.416858966546,0
1,1,5,0,1,1,5377.56231019223,1
1,0,4,3,2,3,998.7883492846053,0
1,0,6,1,5,3,28198.70630838703,1
1,0,5,6,4,4,4722.088775107897,0
1,0,6,1,3,3,5824.615409335338,1
1,0,2,6,1,3,566.9997060551854,1
1,1,6,0,5,3,7938.860438795146,1
1,0,5,2,2,2,1403.4977259214447,0
1,1,4,0,3,2,8560.938468805081,1
1,0,2,1,3,1,9837.829769144548,1
1,1,6,0,1,3,18681.626214010386,1
1,0,5,6,1,1,1406.5517765087782,0
1,1,2,0,3,3,604.6839394813348,1
1,1,6,0,1,1,4380.664032617277,1
1,1,6,0,5,3,757.5775647857233,1
1,0,4,3,1,1,14603.12818086134,0
1,1,0,0,3,3,306.18621784789724,1
1,0,4,2,3,3,6742.712421570417,1
1,1,6,0,3,2,6356.374595632325,1
1,1,6,0,3,2,5458.86232347608,1
1,1,6,0,5,4,36162.65310740719,1
1,1,6,0,1,4,7980.179306673922,1
1,1,5,0,2,4,498.98847682085807,1
1,1,5,0,4,4,1520.2069267043878,0
1,1,6,0,2,1,17204.562240870877,0
1,1,5,0,5,4,3108.5626689302353,1
1,1,4,0,4,1,51879.0533789891,1
1,0,4,1,4,3,499.23768554333583,0
1,1,6,0,1,4,3094.8592482803906,1
1,0,5,1,1,3,9337.570699419988,1
1,0,5,4,5,2,71758.14339014074,1
1,0,4,1,1,4,402.8275065086792,1
1,0,0,1,4,3,0.0,0
1,0,6,1,2,3,1272.3102478038393,1
1,1,6,0,3,3,10887.53921539053,1
1,1,2,0,5,3,1815.9298077477185,1
1,0,5,3,5,3,5240.956531652086,0
1,1,6,0,5,4,2121.3666035522165,1
1,1,6,0,5,3,43468.61483300336,1
1,1,6,0,5,3,30130.21621561983,1
1,0,5,3,1,3,11513.862821254503,0
1,1,6,0,3,2,2061.9707725054363,1
1,1,3,0,5,4,1411.2289207165034,1
1,1,6,0,1,3,1247.01875152969,1
1,0,6,1,1,1,15134.89335828524,0
1,0,4,2,1,1,8651.455438248526,1
1,1,6,0,1,1,14219.493521219383,1
1,0,4,3,1,1,3511.663024835954,0
1,1,4,0,1,2,40778.49693976798,1
1,0,5,3,4,3,7649.219611611807,0
1,1,6,0,2,3,15557.88771009741,1
1,1,6,0,2,3,6886.58602405188,1
1,1,6,0,3,2,41385.13350951039,1
1,1,5,0,4,3,3014.0633481509094,1
1,1,6,0,4,4,11247.440480690115,0
1,1,6,0,3,4,2682.17404356988,0
1,0,1,3,2,2,10628.675458400261,1
1,1,6,0,1,3,13949.058286015823,1
1,1,6,0,1,2,966.4145418331963,1
1,0,3,2,3,3,2206.113596349925,1
1,0,4,4,1,3,77.51752490028733,1
1,1,3,0,1,3,10317.295971652004,1
1,1,6,0,4,5,20799.4762986956,1
1,1,5,0,2,2,2978.9000430807787,1
1,0,6,1,5,1,9310.13402159174,1
1,1,6,0,1,4,7902.159183834927,1
1,0,6,3,1,2,11278.22825920218,1
1,1,4,0,1,2,11427.391630055681,1
1,1,6,0,3,2,2116.4450776400195,0
1,1,6,0,3,2,35058.60360833938,1
1,1,6,0,5,2,6908.726732666929,1
1,1,6,0,1,1,821.1354740033258,1
1,1,6,0,3,4,8254.014669642082,1
1,1,5,0,3,3,19282.21550980765,1
1,1,0,0,2,4,25380.796218138366,1
1,0,6,1,4,4,22831.07784577855,0
1,1,6,0,5,2,26275.34073930663,1
1,1,6,0,1,2,8128.363363350993,1
1,0,5,1,3,3,6383.1726724777445,1
1,1,3,0,4,3,20524.80574735524,1
1,1,6,0,2,3,6645.490701721482,1
1,1,4,0,3,1,2440.687116367028,1
1,0,5,1,1,1,1059.181507894972,1
1,1,5,0,3,4,28829.946731942928,0
1,1,6,0,1,4,660.8675358950536,1
1,0,5,3,1,2,4754.934969762117,0
1,1,6,0,2,3,20169.113906333783,1
1,0,2,1,3,3,481.23078316610906,1
1,0,0,1,4,5,0.0,0
1,1,6,0,4,3,1859.543465477481,1
1,1,0,0,5,2,0.0,0
1,1,6,0,2,3,27363.36274229954,1
1,0,3,1,5,3,8845.008997545829,0
1,1,6,0,1,2,342.92856398964494,1
1,1,6,0,1,3,16826.81931619877,1
1,1,6,0,4,3,2256.551683432046,1
1,1,3,0,1,2,1012.9115788985071,1
1,1,6,0,4,4,34627.05249367899,1
1,1,6,0,3,2,35329.86223815013,1
1,1,6,0,2,2,1741.4093908862058,1
1,1,6,0,4,3,41253.889442895765,1
1,1,6,0,4,4,39139.53571731104,1
1,0,6,1,4,3,6590.15057996907,1
1,1,6,0,5,4,37887.650850464015,1
1,0,6,1,2,1,7827.878844233603,0
1,1,6,0,4,4,2663.1671183010653,1
1,1,5,0,5,3,138915.66426492968,0
1,0,0,1,1,1,0.0,0
1,0,3,6,1,4,364.8320161389348,1
1,0,5,1,1,2,1228.3157031751514,0
1,0,1,1,3,2,0.0,1
1,1,6,0,4,3,32521.52004237604,1
1,1,5,0,3,2,813.6843163455142,1
1,1,6,0,4,3,6052.853960460855,1
1,1,6,0,5,3,16918.161941140846,1
1,0,3,1,5,3,8582.421212377465,0
1,1,6,0,2,3,16741.31865077141,1
1,1,1,0,5,3,0.0,1
1,1,6,0,1,3,19276.797985315578,1
1,0,5,1,1,1,5818.96466449717,0
1,1,6,0,4,2,2695.856054515275,1
1,1,3,0,3,2,2033.7164666360616,1
1,1,3,0,5,3,8950.981527184602,1
1,0,1,1,5,2,2129.0148347690456,1
1,0,6,6,1,5,1888.5621426542118,0
1,1,5,0,2,2,7336.105524504584,1
1,1,6,0,5,3,1585.209481425089,1
1,1,6,0,3,3,8583.948314538402,1
1,0,4,1,1,3,2274.007805615451,1
1,0,4,3,4,4,3476.3672082601784,0
1,1,6,0,2,2,19279.232966242893,1
1,1,6,0,2,1,12821.575997772921,0
1,1,6,0,3,3,2117.223976500046,1
1,0,6,1,4,5,208.6151959949227,1
1,0,6,3,1,4,11148.551888025637,1
1,0,0,1,3,2,0.0,1
1,0,5,3,3,2,4608.002604165931,0
1,1,6,0,5,2,27608.73199128614,1
1,1,6,0,1,1,3080.565337726178,1
1,1,6,0,4,2,10802.363878645576,0
1,1,6,0,5,3,3728.137162176306,1
1,0,5,1,4,4,20931.177008631566,1
1,0,4,3,4,4,239.13908087136238,0
1,0,4,5,2,3,2081.425088731276,0
1,1,6,0,5,5,20564.2680654252,1
1,0,5,6,3,3,3872.7104418826184,1
1,0,5,2,4,3,9959.170942737488,0
1,0,5,1,3,3,1390.4505265081052,0
1,0,5,2,2,2,8750.352076726209,1
1,0,2,1,5,4,31877.552770980816,1
1,1,6,0,1,2,614.0936139276052,1
1,1,6,0,4,2,6202.300006180502,1
1,1,6,0,4,2,1243.614731337644,1
1,1,0,0,3,3,159.21683328090657,1
1,1,6,0,1,3,9876.491111050862,0
1,1,6,0,3,3,2788.0562404657476,1
1,1,4,0,4,2,47.508595713477646,1
1,1,3,0,1,3,2579.3630544509756,1
1,0,4,2,4,2,11494.931968770701,1
1,1,5,0,3,3,131969.08671351787,1
1,1,6,0,3,2,17726.95782981389,1
1,1,4,0,3,2,3082.542630145878,1
1,1,6,0,2,2,1221.9918848612156,1
1,1,6,0,1,2,4260.305235543576,0
1,1,6,0,3,3,1771.3856346562898,1
1,1,6,0,1,2,1038.8398657476841,0
1,1,4,0,2,2,15760.205540114845,1
1,0,5,1,4,3,7719.835708528172,1
1,0,0,1,5,2,0.0,0
1,1,6,0,2,4,26411.259944702877,1
1,0,5,4,1,5,1174.7850299806628,1
1,1,6,0,3,4,1281.4675441331576,0
1,1,6,0,4,2,13479.607407735088,1
1,1,6,0,5,3,11166.219152724287,1
0,1,6,0,3,1,2742.0853378405277,1
1,1,6,0,4,3,24809.146574734623,1
1,0,5,3,5,1,34561.840962252,0
1,1,6,0,5,2,1501.0611801877587,1
1,0,4,3,1,3,7729.26358070418,1
1,0,4,1,3,3,998.9661989610394,0
1,1,6,0,4,3,171.84838278746372,1
1,0,5,1,5,5,3309.095324505879,1
1,1,6,0,1,5,13886.812631654057,1
1,0,2,3,1,1,487.24230796049176,1
1,0,0,1,5,3,0.0,1
1,0,5,2,1,3,5003.902773502566,0
1,0,0,2,3,3,34104.24568877019,0
1,1,6,0,3,2,8015.191467873158,1
1,0,4,3,2,3,6544.589276646778,1
1,1,5,0,1,5,1398.0430131675728,1
1,1,6,0,3,4,61158.53672437451,1
1,1,6,0,1,5,1194.2175122927426,1
1,0,4,3,1,4,2153.5640227306917,1
1,1,6,0,3,2,4394.830963757309,1
1,1,6,0,4,2,12887.367423178404,1
1,1,6,0,1,3,3875.4350680493494,0
1,1,6,0,3,2,8807.186075396992,1
1,0,6,3,1,3,740.4780662968126,0
1,1,6,0,3,3,7131.965407001542,1
1,0,5,1,3,2,1202.3260234506556,0
1,1,4,0,2,1,14149.516110689674,1
0,1,6,0,5,4,56581.60181071817,1
1,0,1,1,2,2,32659.86323710904,1
1,0,6,3,2,5,4444.45915719787,0
1,1,6,0,3,4,3585.9748140033926,1
1,1,4,0,4,2,389.1945528909674,0
1,0,0,1,5,3,0.0,1
1,0,6,1,5,3,15055.256384399438,0
1,1,6,0,5,4,12846.807862915468,1
1,1,6,0,3,2,1543.5818626385405,1
1,1,1,0,5,5,16777.961735562516,1
1,1,6,0,3,2,757.585044730953,1
1,1,4,0,2,3,5539.324498528679,1
1,1,2,0,1,1,388.19101827150337,1
1,1,6,0,4,2,14128.846158362212,1
1,0,4,6,3,1,4034.378151173569,1
1,1,6,0,4,2,58230.53544118126,1
1,1,6,0,2,4,5150.401489204507,1
1,0,4,1,3,4,938.8177671944646,0
1,1,6,0,1,4,1468.840551818565,1
1,0,4,6,3,2,5778.73696984615,0
1,1,4,0,4,5,32767.026881709404,1
1,1,1,0,3,1,12463.804915300412,1
1,0,6,2,5,3,79820.22905671636,1
1,1,6,0,5,2,3735.808654093515,1
1,1,6,0,5,3,6652.230352796471,1
1,0,5,6,2,1,1715.253032839956,0
1,1,2,0,4,3,202.3762996664053,1
1,0,4,1,4,3,1938.6758023627021,1
1,0,5,2,4,2,3238.9108663252837,0
1,1,6,0,5,4,74330.37518112408,1
1,1,2,0,1,3,9002.314517204264,1
1,1,4,0,4,3,6047.146831357743,1
1,0,5,1,1,2,1730.4438736925274,1
1,1,6,0,1,4,12347.821520414036,1
1,0,0,1,4,3,0.0,0
1,0,5,2,1,1,1781.2437695797469,1
1,1,6,0,5,2,6705.500130489895,1
1,1,5,0,4,3,3769.319660097827,1
1,0,4,3,4,3,3857.5189306081184,0
1,1,6,0,5,2,5709.196291948631,1
1,1,0,0,2,3,4597.692247204025,1
1,0,5,4,1,4,2441.746785943757,0
1,1,5,0,3,3,81.24140980230874,0
1,1,6,0,2,2,21412.138075555806,1
1,1,6,0,4,3,58575.60363410692,1
1,1,6,0,2,1,7350.166086558861,1
1,1,6,0,5,2,8160.56441062749,0
1,1,6,0,3,2,1797.7821521715769,1
1,1,6,0,5,3,3890.597109270847,1
1,1,3,0,5,5,6818.018040457212,1
1,0,4,6,4,3,6792.15224848992,0
1,0,3,1,2,2,5696.986103780371,1
1,1,6,0,3,3,1029.1269439027756,1
1,1,6,0,1,1,14174.401019678633,1
1,1,6,0,2,1,15834.816458256368,0
1,1,6,0,1,1,6174.79300597734,1
1,0,5,2,2,3,3614.800796724489,1
1,0,3,1,1,2,1187.3834679664358,1
1,1,6,0,4,2,4648.007917377078,1
1,1,6,0,4,4,22226.100498438016,0
1,1,6,0,4,3,8119.481682964744,1
1,1,6,0,3,2,24364.577414079376,1
1,1,4,0,3,5,19256.056568432352,1
0,1,5,0,4,4,14365.52824530538,1
1,0,5,1,3,2,17744.81166613686,1
1,0,0,1,5,5,0.0,0
1,0,5,2,5,5,14330.088913425021,0
1,1,6,0,4,3,87346.52025677191,1
1,1,6,0,4,2,63570.3904148779,1
1,1,6,0,2,4,19592.93970456365,1
1,1,6,0,1,3,14187.53140848212,1
1,0,3,6,3,3,2973.188165365029,1
1,1,3,0,1,3,12825.83069694383,1
1,1,6,0,4,4,5718.096256622478,1
1,1,5,0,2,4,17715.35875354114,0
1,1,6,0,3,3,16282.907168766475,1
1,1,6,0,2,3,3175.0757943709,1
1,1,6,0,5,2,46187.75647037499,1
1,1,6,0,4,2,34010.181297664385,1
1,0,3,1,3,5,802.8201334462575,1
1,1,6,0,4,5,5992.999438233468,0
1,1,6,0,4,3,24550.125151751603,0
1,1,6,0,4,3,3797.1981117660953,1
1,1,6,0,5,3,5449.263928886788,1
1,1,6,0,2,4,2552.4178667817437,1
1,1,6,0,5,3,58620.67239350523,0
1,1,6,0,5,4,112764.65342192413,1
1,1,6,0,3,3,808.2401664521918,1
1,0,5,4,2,3,2238.1562948105297,1
1,1,4,0,3,3,2814.8382309942194,1
1,1,6,0,2,2,2584.0045665594325,1
1,1,6,0,1,4,8946.219916814029,1
1,0,5,1,2,3,10096.019175893041,1
1,0,5,1,5,3,135.77002614715812,1
1,1,0,0,4,3,0.0,1
1,0,4,1,4,3,57401.26472009712,1
1,0,5,4,3,2,6551.724060632183,0
1,0,4,1,2,2,17785.08824455664,1
1,0,6,6,2,4,6741.211463824585,1
1,1,6,0,2,4,928.725291281909,1
1,1,6,0,4,3,31179.146822302027,1
1,1,4,0,4,4,5407.779337830517,1
1,1,6,0,5,3,1609.5000983742332,1
1,1,5,0,4,3,504.3152453244564,0
1,1,6,0,4,3,5078.928810946917,1
1,1,1,0,2,3,233.9262704357935,1
1,0,5,5,1,4,3407.5923905302993,1
1,0,6,1,4,2,56848.850922424106,1
1,1,2,0,3,2,12291.162722324794,1
1,1,6,0,2,2,718.6394552671504,0
1,1,6,0,1,4,175.57980141994312,1
1,1,6,0,4,4,3461.66304926789,1
1,0,5,1,1,1,4865.755179483105,1
1,1,3,0,4,4,656.3006678852815,1
1,0,5,2,1,3,2012.6995801659025,1
1,0,5,2,1,3,1858.5968273583883,1
1,0,3,6,2,3,3655.5608963149098,1
0,1,6,0,4,4,20282.473295105472,1
1,1,2,0,3,3,8841.213229340568,0
0,1,0,0,1,5,0.0,1
1,1,4,0,3,3,419.3913049488111,1
1,1,5,0,5,4,138946.2363094685,1
1,0,5,1,3,2,2665.127364060987,1
1,0,5,1,2,2,5260.291161143079,1
1,1,1,0,3,2,4207.268836985184,1
1,0,5,1,3,3,375.8327642272114,1
1,1,6,0,3,3,0.0,0
1,1,6,0,5,2,23995.23043787383,1
1,0,6,6,1,1,1292.1701771309638,0
1,0,6,1,1,1,2622.860073787137,1
1,1,6,0,2,5,13690.584555330961,1
1,1,6,0,2,3,1276.1901112295143,1
1,1,6,0,1,4,2556.8476424430664,1
1,0,5,2,1,1,684.2276424309871,1
1,1,6,0,5,3,7869.756184279155,1
1,1,6,0,1,3,1211.296935795128,1
1,0,6,1,5,2,22998.977156966495,1
1,1,6,0,5,2,58484.12160036831,0
1,1,6,0,3,4,21921.688198372558,0
1,1,6,0,4,3,2695.841223069341,1
1,1,5,0,4,2,4960.007933461397,1
1,0,4,3,1,2,1002.2808821217067,1
1,0,5,2,5,4,5075.013655154044,0
1,0,2,1,5,2,1146.2327425091294,1
1,0,3,2,1,1,7953.269164312245,1
1,1,6,0,1,1,6374.77884845166,1
1,1,6,0,1,2,32466.611637188136,1
1,0,4,3,1,4,1058.5653341512118,0
1,0,5,4,2,4,3925.400688677102,0
1,1,4,0,1,2,1047.3843134208187,1
1,1,6,0,2,1,2361.2373874729324,1
1,1,6,0,5,3,62554.44857295656,1
1,1,5,0,3,4,19413.090665836804,1
1,1,2,0,1,5,1901.4493857756684,1
1,0,6,6,3,3,3859.5842997227905,1
1,1,3,0,4,3,172.33504189997655,1
1,0,1,1,3,2,129.82295636750843,1
1,0,4,4,1,3,479.08649184324395,0
1,1,6,0,2,1,6242.953457031909,1
1,1,5,0,5,3,8451.645993532857,1
1,1,6,0,5,3,3446.8882585118226,1
1,0,0,1,4,4,55.113519212621505,0
1,1,0,0,3,1,0.0,1
1,1,6,0,4,2,6021.263986905075,1
1,1,6,0,3,2,9481.091021958742,1
1,0,5,3,2,5,980.9857627237343,0
1,1,3,0,4,4,13582.855055792455,0
1,1,6,0,1,5,11153.37072667571,0
1,0,1,1,4,4,2600.5416102548074,1
1,1,6,0,1,1,1200.3966011281439,1
1,1,5,0,5,4,27654.31361650475,1
1,1,6,0,3,3,2496.5689055181315,1
1,0,6,4,3,3,6521.862423163085,1
1,1,1,0,1,2,9206.819611932595,1
1,1,5,0,4,5,2780.9829197605654,1
1,1,6,0,4,3,5408.548101539513,1
1,1,4,0,5,5,787.6830369296184,1
1,1,6,0,2,4,1367.106689326038,1
1,1,6,0,5,3,23413.32520951833,1
1,0,6,5,5,4,2223.6255455149517,1
1,1,6,0,4,3,3598.014920295171,1
1,1,6,0,2,1,4323.951186896848,0
1,1,6,0,5,2,3889.7020665684236,1
1,1,6,0,1,2,7056.52942316547,1
1,1,1,0,4,3,7542.779710866987,1
1,0,5,1,4,2,20742.973370919284,1
1,1,6,0,1,1,15649.547807098666,1
1,1,2,0,5,3,5250.1473757092435,1
1,1,4,0,3,5,1789.6436144290478,0
1,1,6,0,2,4,2451.4798523884847,1
1,0,6,1,5,5,19041.620169162776,0
1,1,6,0,4,2,24290.373028561473,1
1,0,4,1,2,3,11563.043474795033,1
1,1,6,0,1,3,749.8068417932715,1
1,1,4,0,1,3,3439.2226689568483,1
1,0,1,1,1,2,318.43366656181314,0
1,1,6,0,2,3,4527.397972345705,1
1,1,6,0,3,2,12065.002650918344,1
1,1,6,0,2,5,10936.070281412789,1
1,1,4,0,1,4,20084.734555544084,1
1,0,5,1,1,1,1267.60016040811,1
1,0,0,1,4,4,0.0,0
1,0,5,1,4,1,9511.295630284376,0
1,1,6,0,3,2,46732.77622254713,1
1,1,6,0,4,3,25745.387656821174,1
1,1,6,0,4,2,17791.639617153523,1
1,1,6,0,3,3,1635.601377679374,1
1,1,6,0,1,3,11240.841636639136,1
1,1,6,0,2,3,3775.2420849529635,1
1,1,6,0,3,4,2017.3615441957845,1
1,1,6,0,4,4,4167.4656567271195,1
1,1,6,0,5,2,8400.163944828695,1
1,0,0,1,4,3,0.0,1
1,0,6,1,2,1,9692.499851259565,1
1,0,4,1,5,3,25591.19501443156,0
1,1,6,0,5,4,820.8338849405931,1
1,1,5,0,1,5,379.6709101313926,0
1,1,6,0,3,5,2127.1411252351513,1
1,0,4,4,3,2,1408.965246791654,1
1,0,1,1,3,3,0.0,1
1,0,3,6,1,3,1131.346763817354,1
1,1,3,0,1,3,4582.32885841541,1
1,0,5,1,3,1,4207.422651299328,1
1,1,5,0,5,3,3496.567840993031,1
1,1,6,0,4,3,69.81045766932057,1
1,1,5,0,4,4,11234.170951461734,1
1,1,1,0,5,2,1544.0261224042379,0
1,1,6,0,1,3,1979.9765065946278,1
1,0,4,2,1,1,3863.32021280487,1
1,0,5,6,4,3,4116.440780577318,1
1,1,6,0,3,3,8198.117607109574,1
1,0,2,1,4,3,242.9077328259985,1
1,1,6,0,4,5,14113.178547017676,1
1,1,6,0,2,1,8865.94961448951,1
1,1,6,0,4,3,4685.487697846049,1
1,1,6,0,3,3,2921.6538295972027,1
1,1,5,0,3,2,251.74722772389504,1
1,1,0,0,2,2,3112.4849664964913,1
1,0,3,1,5,3,217.68272018391048,1
1,1,0,0,2,1,200.44991061775673,1
1,0,5,1,1,1,1122.2322397792714,1
1,1,6,0,2,4,3897.2801627117683,1
1,1,6,0,4,3,0.0,1
1,1,6,0,1,4,296.1207523967208,1
1,1,6,0,4,4,2495.304664097486,1
1,1,0,0,2,4,587.8775382679628,1
